"timestamp","system_time","lat","lon","speed","bearing","provider"
"1525377989000","1525377988538","42.96448308","-78.76760507","3.5","167.4","gps"
"1525377990000","1525377989539","42.9644545","-78.76759269","2.75","166.4","gps"
"1525377991000","1525377990537","42.96443884","-78.76758809","1.5","166.1","gps"
"1525377992000","1525377991538","42.96442646","-78.76758605","0.5","166.1","gps"
"1525377996000","1525377995539","42.96440721","-78.76757096","2.75","165.0","gps"
"1525377997000","1525377996538","42.96437455","-78.76756489","3.5","167.4","gps"
"1525377998000","1525377997540","42.96434681","-78.76754889","3.5","167.8","gps"
"1525377999000","1525377998541","42.96431567","-78.76754881","3.25","167.4","gps"
"1525378000000","1525377999539","42.96428416","-78.76754243","3.5","169.0","gps"
"1525378001000","1525378000544","42.96424994","-78.76753491","3.75","167.7","gps"
"1525378002000","1525378001539","42.96421604","-78.76752687","4.0","168.1","gps"
"1525378003000","1525378002540","42.96417975","-78.76751848","4.25","167.9","gps"
"1525378004000","1525378003538","42.96413918","-78.76750842","4.5","168.1","gps"
"1525378005000","1525378004537","42.96408407","-78.76750151","6.0","168.5","gps"
"1525378006000","1525378005538","42.96402993","-78.76748765","6.5","168.4","gps"
"1525378007000","1525378006540","42.96396669","-78.76747428","6.25","168.9","gps"
"1525378008000","1525378007538","42.96390712","-78.76745916","6.75","169.7","gps"
"1525378009000","1525378008538","42.9638421","-78.76744796","7.5","170.6","gps"
"1525378010000","1525378009538","42.96376969","-78.76742861","8.25","170.4","gps"
"1525378011000","1525378010538","42.96369303","-78.76740663","8.5","170.6","gps"
"1525378012000","1525378011539","42.96361087","-78.76737938","8.5","170.1","gps"
"1525378013000","1525378012542","42.96352584","-78.76735647","9.25","171.2","gps"
"1525378014000","1525378013540","42.96342364","-78.76732488","11.0","171.3","gps"
"1525378015000","1525378014541","42.96331097","-78.7673026","12.5","172.0","gps"
"1525378016000","1525378015539","42.96318663","-78.76728303","13.75","172.7","gps"
"1525378017000","1525378016538","42.9630654","-78.76726515","13.25","173.6","gps"
"1525378018000","1525378017541","42.96294053","-78.76723616","13.0","173.6","gps"
"1525378019000","1525378018537","42.96282597","-78.76722092","12.75","173.2","gps"
"1525378020000","1525378019540","42.9627064","-78.76720695","12.5","173.4","gps"
"1525378021000","1525378020539","42.96259931","-78.7671872","12.5","173.3","gps"
"1525378022000","1525378021541","42.96250223","-78.7671822","12.75","173.6","gps"
"1525378023000","1525378022537","42.96238663","-78.76716847","13.25","173.2","gps"
"1525378024000","1525378023541","42.96226701","-78.76714517","14.25","173.5","gps"
"1525378025000","1525378024539","42.96213334","-78.76711621","15.0","172.8","gps"
"1525378026000","1525378025539","42.9620034","-78.76709478","15.5","173.8","gps"
"1525378027000","1525378026541","42.96185382","-78.76707755","16.25","175.5","gps"
"1525378028000","1525378027539","42.96170193","-78.76705525","16.5","173.9","gps"
"1525378029000","1525378028541","42.96155189","-78.76703911","16.75","173.6","gps"
"1525378030000","1525378029538","42.96140037","-78.76702353","16.75","173.8","gps"
